Kv,   Ka,   Stdev
0.014,0.002,1.2189294426307
0.015,0.002,0.735775863219171
0.016,0.002,0.59536317106284
0.017,0.002,0.897757608832908
0.018,0.002,1.17959602441065
0.019,0.002,1.81685302290059
0.020,0.002,2.15321426032028
0.021,0.002,2.78422119685994
0.022,0.002,3.1195702601411
0.023,0.002,3.85430697159554
0.024,0.002,4.34039843425653
0.016,0.000,1.61811090957121
0.016,0.001,0.822431749735204
0.016,0.002,0.646525190516074
0.016,0.003,1.26887571099639
0.016,0.004,1.94704533269902
0.016,0.005,2.82851006262774
0.016,0.006,3.61847359196543
0.016,0.007,4.33869888772913
0.016,0.008,5.15740002599448
0.016,0.009,5.87200017969478
0.016,0.010,6.65647103244795
