ks, error
-0.03,-4.634843257564923
-0.02,-3.652000640628015
-0.01,-3.4833101807099722
 0.00,-2.484402276506431
 0.01,-1.892721091242786
 0.02,-1.4764056526570895
 0.03,-1.1748292529329005
 0.04,-0.23834381990082845
 0.05,0.7164058265775299
 0.06,0.8448246922255938
 0.07,1.803061188632268
 0.08,1.9455507296684984
